id,name,version,layout,released_at,image_uris,cost,inkwell,ink,inks,type,classifications,text,keywords,move_cost,strength,willpower,lore,rarity,illustrators,collector_number,lang,flavor_text,tcgplayer_id,legalities,set,prices
crd_d9f3b86af85f48579ed9d0d7ce0de129,Ariel,On Human Legs,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_d9f3b86af85f48579ed9d0d7ce0de129.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_d9f3b86af85f48579ed9d0d7ce0de129.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_d9f3b86af85f48579ed9d0d7ce0de129.avif?1709690747'}}",4,True,Amber,,['Character'],"['Storyborn', 'Hero', 'Princess']",VOICELESS This character can't {E} to sing songs.,[],,3,4,2,Uncommon,['Matthew Robert Davies'],1,en,"""...""",494102,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '0.05', 'usd_foil': '0.52'}"
crd_be92bba983424f2f9546f237e65ce357,Ariel,Spectacular Singer,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_be92bba983424f2f9546f237e65ce357.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_be92bba983424f2f9546f237e65ce357.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_be92bba983424f2f9546f237e65ce357.avif?1709690747'}}",3,True,Amber,,['Character'],"['Storyborn', 'Hero', 'Princess']","Singer 5 (This character counts as cost 5 to sing songs.)
MUSICAL DEBUT When you play this character, look at the top 4 cards of your deck. You may reveal a song card and put it into your hand. Put the rest on the bottom of your deck in any order.",['Singer'],,2,3,1,Super_rare,['Alice Pisoni'],2,en,,504451,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '3.39', 'usd_foil': '14.67'}"
crd_5a280549e94f43c09ef0bcdf8ce4fa31,Cinderella,Gentle and Kind,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_5a280549e94f43c09ef0bcdf8ce4fa31.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_5a280549e94f43c09ef0bcdf8ce4fa31.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_5a280549e94f43c09ef0bcdf8ce4fa31.avif?1709690747'}}",4,True,Amber,,['Character'],"['Storyborn', 'Hero', 'Princess']","Singer 5 (This character counts as cost 5 to sing songs.)
A WONDERFUL DREAM {E} — Remove up to 3 damage from chosen Princess character.",['Singer'],,2,5,2,Uncommon,['Javier Salas'],3,en,,508692,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '0.04', 'usd_foil': '0.41'}"
crd_9bd583ab207a4366a12f37ab94ed8619,Goofy,Musketeer,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_9bd583ab207a4366a12f37ab94ed8619.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_9bd583ab207a4366a12f37ab94ed8619.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_9bd583ab207a4366a12f37ab94ed8619.avif?1709690747'}}",5,True,Amber,,['Character'],"['Dreamborn', 'Hero', 'Musketeer']","Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)
AND TWO FOR TEA! When you play this character, you may remove up to 2 damage from each of your Musketeer characters.",['Bodyguard'],,3,6,1,Uncommon,['Jochem Van Gool'],4,en,"""En gawrsh!""",501751,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '0.14', 'usd_foil': '0.42'}"
crd_ab901cb3afed4b95b0bbca4350b0d4d7,Hades,King of Olympus,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_ab901cb3afed4b95b0bbca4350b0d4d7.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_ab901cb3afed4b95b0bbca4350b0d4d7.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_ab901cb3afed4b95b0bbca4350b0d4d7.avif?1709690747'}}",8,False,Amber,,['Character'],"['Floodborn', 'Villain', 'King', 'Deity']","Shift 6 (You may pay 6 {I} to play this on top of one of your characters named Hades.)
SINISTER PLOT This character gets +1 {L} for each other Villain character you have in play.",['Shift'],,6,7,1,Rare,['Alex Accorsi'],5,en,"""Oh hey, I'm gonna need new business cards.""",485364,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '0.2', 'usd_foil': '0.51'}"
crd_4c9f441611314185a25b1fca893f6643,Hades,Lord of the Underworld,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_4c9f441611314185a25b1fca893f6643.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_4c9f441611314185a25b1fca893f6643.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_4c9f441611314185a25b1fca893f6643.avif?1709690747'}}",4,False,Amber,,['Character'],"['Storyborn', 'Villain', 'Deity']","WELL OF SOULS When you play this character, return a character card from your discard to your hand.",[],,3,2,1,Rare,['Randy Bishop'],6,en,"""Production is up, costs are down, the rivers are full. Time to talk expansion.""",493480,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '0.12', 'usd_foil': '1.77'}"
crd_7b875417a470447eb4d998d9b634580b,HeiHei,Boat Snack,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_7b875417a470447eb4d998d9b634580b.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_7b875417a470447eb4d998d9b634580b.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_7b875417a470447eb4d998d9b634580b.avif?1709690747'}}",1,True,Amber,,['Character'],"['Storyborn', 'Ally']","Support (Whenever this character quests, you may add their {S} to another chosen character's {S} this turn.)",['Support'],,1,2,1,Common,['Jenna Gray'],7,en,"""Sometimes, our strengths lie beneath the surface. Far beneath, in some cases....""
—Moana",493479,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '0.05', 'usd_foil': '0.3'}"
crd_5a1091c1a03c43d4854b66426d49aa10,LeFou,Bumbler,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_5a1091c1a03c43d4854b66426d49aa10.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_5a1091c1a03c43d4854b66426d49aa10.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_5a1091c1a03c43d4854b66426d49aa10.avif?1709690747'}}",2,True,Amber,,['Character'],"['Storyborn', 'Ally']","LOYAL If you have a character named Gaston in play, you pay 1 {I} less to play this character.",[],,1,2,2,Uncommon,['Andrey Chumak'],8,en,You need a good toady to be a proper bad guy.,492738,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '0.04', 'usd_foil': '0.42'}"
crd_0ccbea0b8fd54779939f56e1fcc3769a,Lilo,Making a Wish,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_0ccbea0b8fd54779939f56e1fcc3769a.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_0ccbea0b8fd54779939f56e1fcc3769a.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_0ccbea0b8fd54779939f56e1fcc3769a.avif?1709690747'}}",1,False,Amber,,['Character'],"['Storyborn', 'Hero']",,[],,1,1,2,Rare,['Dave Beauchene'],9,en,"""A falling star... I have to make a wish!""",503315,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '1.92', 'usd_foil': '4.35'}"
crd_1d41bcb819ef4f12b40b5aab332e0c4c,Maximus,Palace Horse,normal,2023-08-18,"{'digital': {'small': 'https://cards.lorcast.io/card/digital/small/crd_1d41bcb819ef4f12b40b5aab332e0c4c.avif?1709690747', 'normal': 'https://cards.lorcast.io/card/digital/normal/crd_1d41bcb819ef4f12b40b5aab332e0c4c.avif?1709690747', 'large': 'https://cards.lorcast.io/card/digital/large/crd_1d41bcb819ef4f12b40b5aab332e0c4c.avif?1709690747'}}",5,True,Amber,,['Character'],"['Storyborn', 'Ally']","Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)
Support (Whenever this character quests, you may add their {S} to another chosen character's {S} this turn.)","['Bodyguard', 'Support']",,4,5,1,Super_rare,['Brian Weisz'],10,en,,506837,{'core': 'legal'},"{'id': 'set_7ecb0e0c71af496a9e0110e23824e0a5', 'code': '1', 'name': 'The First Chapter'}","{'usd': '0.29', 'usd_foil': '1.32'}"
